O*NET-SOC Code,Title,Description,Skill,Skill Importance,Job Zone,Technology_Count,In_Demand_Count,Hot_Technology_Count,NEM Code,BLS Title,Employment 2025,Employment 2035,"Employment change, percent, 2025–35","Occupational openings, 2025–35 annual average",Median Wage
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Critical Thinking,4.0,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Active Learning,3.88,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Learning Strategies,3.0,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Monitoring,2.88,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Reading Comprehension,4.0,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Active Listening,3.88,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Writing,3.75,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Speaking,3.88,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Mathematics,3.5,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Science,1.62,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Critical Thinking,3.88,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Active Learning,3.88,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Learning Strategies,3.0,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Monitoring,3.12,4,203,14,100,15-2051,      Data scientists,275.6,371.0,34.6,24.8,120230
